model_name,build_type,skuno,station,total_tests,failed_tests,failure_percentage,x_labels
ASTORIA,DVT2,1179573,AST Functional Test,34,14.0,41.18,ASTORIA_DVT2_1179573
ASTORIA,DVT2,1179573,AST Google Firmware Update Test,8,0.0,0.0,ASTORIA_DVT2_1179573
ASTORIA,DVT2,1179573,AST Run-in Test,30,16.0,53.33,ASTORIA_DVT2_1179573
ASTORIA,DVT2,1179573,AST SDC Test,10,2.0,20.0,ASTORIA_DVT2_1179573
ASTORIA,DVT2,1179573,Turin Pre-Firmware Update Test,27,2.0,7.41,ASTORIA_DVT2_1179573
ASTORIA,DVT3,1179575,AST Functional Test,47,25.0,53.19,ASTORIA_DVT3_1179575
ASTORIA,DVT3,1179575,AST Google Firmware Update Test,24,1.0,4.17,ASTORIA_DVT3_1179575
ASTORIA,DVT3,1179575,AST Run-in Test,26,9.0,34.62,ASTORIA_DVT3_1179575
ASTORIA,DVT3,1179575,AST SDC Test,18,1.0,5.56,ASTORIA_DVT3_1179575
ASTORIA,DVT3,1179575,Turin Pre-Firmware Update Test,37,14.0,37.84,ASTORIA_DVT3_1179575
ASTORIA,DVT3,1179577,AST Functional Test,51,35.0,68.63,ASTORIA_DVT3_1179577
ASTORIA,DVT3,1179577,AST Google Firmware Update Test,16,0.0,0.0,ASTORIA_DVT3_1179577
ASTORIA,DVT3,1179577,AST Run-in Test,19,3.0,15.79,ASTORIA_DVT3_1179577
ASTORIA,DVT3,1179577,AST SDC Test,21,5.0,23.81,ASTORIA_DVT3_1179577
ASTORIA,DVT3,1179577,Turin Pre-Firmware Update Test,21,5.0,23.81,ASTORIA_DVT3_1179577
ASTORIA,DVT3,1179579,AST Functional Test,18,8.0,44.44,ASTORIA_DVT3_1179579
ASTORIA,DVT3,1179579,AST Google Firmware Update Test,8,0.0,0.0,ASTORIA_DVT3_1179579
ASTORIA,DVT3,1179579,AST Run-in Test,8,0.0,0.0,ASTORIA_DVT3_1179579
ASTORIA,DVT3,1179579,AST SDC Test,11,3.0,27.27,ASTORIA_DVT3_1179579
ASTORIA,DVT3,1179579,Turin Pre-Firmware Update Test,19,8.0,42.11,ASTORIA_DVT3_1179579
ASTORIA,GA,1154427,AST Functional Test,10231,4869.0,47.59,ASTORIA_GA_1154427
ASTORIA,GA,1154427,AST Google Firmware Update Test,5683,767.0,13.5,ASTORIA_GA_1154427
ASTORIA,GA,1154427,AST Run-in Test,6098,951.0,15.6,ASTORIA_GA_1154427
ASTORIA,GA,1154427,AST SDC Test,5616,667.0,11.88,ASTORIA_GA_1154427
ASTORIA,GA,1154500,AST Functional Test,1443,756.0,52.39,ASTORIA_GA_1154500
ASTORIA,GA,1154500,AST Google Firmware Update Test,693,33.0,4.76,ASTORIA_GA_1154500
ASTORIA,GA,1154500,AST Run-in Test,744,74.0,9.95,ASTORIA_GA_1154500
ASTORIA,GA,1154500,AST SDC Test,696,35.0,5.03,ASTORIA_GA_1154500
ASTORIA,GA,1154503,AST Functional Test,132,65.0,49.24,ASTORIA_GA_1154503
ASTORIA,GA,1154503,AST Google Firmware Update Test,65,2.0,3.08,ASTORIA_GA_1154503
ASTORIA,GA,1154503,AST Run-in Test,72,9.0,12.5,ASTORIA_GA_1154503
